Date,Active Energy (kcal),Basal Energy Burned (kcal),Heart Rate Variability (ms),Resting Heart Rate (count/min),Sleep Analysis [Asleep] (hr),Sleep Analysis [In Bed] (hr),Sleep Analysis [Core] (hr),Sleep Analysis [Deep] (hr),Sleep Analysis [REM] (hr),Sleep Analysis [Awake] (hr),VO2 Max (ml/(kg·min)),Walking Heart Rate Average (count/min),Weight & Body Mass (lb) 
2021-10-25 00:00:00,598.7,2302,,75,0.0,8.994917618897226,0.0,0.0,0.0,0.0,27.28,117, 
2021-10-26 00:00:00,527.73,2372,,74,0.0,8.281586306360033,0.0,0.0,0.0,0.0,,99, 
2021-10-27 00:00:00,708.96,2340,23.56,73,0.0,9.000347921682728,0.0,0.0,0.0,0.0,27.05,162, 
2021-10-28 00:00:00,512.18,2344,11.54,79,0.0,9.000276010831197,0.0,0.0,0.0,0.0,,106, 
2021-10-29 00:00:00,563.64,2343,21.09,76,,,,,,,,94.5, 
2021-10-30 00:00:00,1080,2232,22.57,76,,,,,,,27.1,119.5, 
2021-10-31 00:00:00,641.92,2246,51.72,69,0.0,8.933333333333334,0.0,0.0,0.0,0.0,28,99, 
2021-11-01 00:00:00,401.33,2270,31.87,73,0.0,9.00012093361881,0.0,0.0,0.0,0.0,,97.5, 
2021-11-02 00:00:00,798.86,2336,,74,0.0,8.554722222222223,0.0,0.0,0.0,0.0,28.19,157, 
2021-11-03 00:00:00,756.82,2353,18.07,74,0.0,8.000632398890124,0.0,0.0,0.0,0.0,28.24,162, 
2021-11-04 00:00:00,256.13,2153,29.51,71,,,,,,,,130, 
2021-11-05 00:00:00,449.57,2316,,68,0.0,8.583333333333334,0.0,0.0,0.0,0.0,,91, 
2021-11-06 00:00:00,1612,2285,24.29,79,,,,,,,28.29,99, 
2021-11-07 00:00:00,496.24,2320,,66,,,,,,,29.03,110, 
2021-11-08 00:00:00,550.55,2366,39.16,71,0.0,8.317325223286947,0.0,0.0,0.0,0.0,,91, 
2021-11-09 00:00:00,810.77,2419,25.82,75,0.0,8.132787065539095,0.0,0.0,0.0,0.0,29.02,155, 
2021-11-10 00:00:00,431.03,2304,,64,,,,,,,,91, 
2021-11-11 00:00:00,681.79,2367,35.53,73,0.8394098278880119,8.496208096378378,0.0,0.0,0.0,0.0,29.13,124, 
2021-11-12 00:00:00,594.9,2352,15.75,69,,,,,,,29.19,103, 
2021-11-13 00:00:00,1348,2268,26.79,78,,,,,,,29.13,117, 
2021-11-14 00:00:00,1083,2335,29.06,79,0.0,8.533519533342785,0.0,0.0,0.0,0.0,,101,209.6 
2021-11-15 00:00:00,663.63,2269,29.32,68,0.0,8.953333333333333,0.0,0.0,0.0,0.0,,95, 
2021-11-16 00:00:00,496.62,2308,27.9,72,0.0,7.42786669138405,0.0,0.0,0.0,0.0,,93.5, 
2021-11-17 00:00:00,503.49,2323,,73,,,,,,,,104, 
2021-11-18 00:00:00,742.53,2291,27.61,72,0.0,7.56138888888889,0.0,0.0,0.0,0.0,29.57,114, 
2021-11-19 00:00:00,1018,2271,21.02,73,0.0,8.048503636949592,0.0,0.0,0.0,0.0,29.58,112, 
2021-11-20 00:00:00,1847,2255,27.38,79,,,,,,,,112, 
2021-11-21 00:00:00,1260,2301,23.57,75,0.0,8.221043278243807,0.0,0.0,0.0,0.0,30.04,113.5, 
2021-11-22 00:00:00,656.74,2289,,73,0.0,7.995,0.0,0.0,0.0,0.0,,100.5, 
2021-11-23 00:00:00,1605,2337,17.77,73,0.0,7.893888888888889,0.0,0.0,0.0,0.0,29.45,102, 
2021-11-24 00:00:00,710.46,2439,42.65,68,,,,,,,,106, 
2021-11-25 00:00:00,392.14,2172,38.2,76,0.96483329753081,6.629075103269683,0.0,0.0,0.0,0.21023950828446283,,110.5, 
2021-11-26 00:00:00,474.8,2258,28.85,75,0.0,8.531242994732327,0.0,0.0,0.0,0.0,,106.5, 
2021-11-27 00:00:00,492.24,2270,32.64,71,,,,,,,29.35,97, 
2021-11-28 00:00:00,443.78,2199,27.95,74,,,,,,,,94, 
2021-11-29 00:00:00,465.56,2313,,76,0.0,8.958103313346705,0.0,0.0,0.0,0.0,,99, 
2021-11-30 00:00:00,446.05,2348,,77,0.0,7.75322341610988,0.0,0.0,0.0,0.0,,96, 
2021-12-01 00:00:00,471.55,2290,32.88,72,0.0,8.902508806950516,0.0,0.0,0.0,0.0,,92, 
2021-12-02 00:00:00,472.25,2272,20.24,73,0.0,8.57229494528638,0.0,0.0,0.0,0.0,,96.5, 
2021-12-03 00:00:00,720.8,2242,22.93,75,,,,,,,,96,208.8 
2021-12-04 00:00:00,2291,2323,18.73,69.78,7.166666666666667,8.033333333333333,0.0,0.0,0.0,0.6000000000000001,,118, 
2021-12-05 00:00:00,388.81,2173,,72,,,,,,,,103, 
2021-12-06 00:00:00,641.98,2243,17.39,66.67,8.494166727761428,9.52388894998365,0.0,0.0,0.0,1.0286111111111111,29.44,117, 
2021-12-07 00:00:00,532.62,2326,23.98,67.5,7.416666666666667,7.85990068472094,0.0,0.0,0.0,0.0,,95, 
2021-12-08 00:00:00,489.96,2307,21.72,66,,,,,,,,94, 
2021-12-09 00:00:00,380.3,2206,26.65,63,8.075555182496707,8.159166293607818,0.0,0.0,0.0,0.08305555555555555,,89, 
2021-12-10 00:00:00,492.93,2370,28.51,66.5,8.666944444444445,9.033333333333333,0.0,0.0,0.0,0.0,,90, 
2021-12-11 00:00:00,329.82,2166,29.24,64,9.198888888888888,10.966666666666667,0.0,0.0,0.0,0.5502777777777779,,82, 
2021-12-12 00:00:00,443.51,2247,19.98,66.33,7.6000000000000005,8.917128584716055,0.0,0.0,0.0,0.5783333333333334,,122, 
2021-12-13 00:00:00,503.52,2341,24.99,71,,,,,,,,96, 
2021-12-14 00:00:00,473.02,2337,28.7,71.5,6.858333333333333,7.668333333333334,0.0,0.0,0.0,0.0,,117.5, 
2021-12-15 00:00:00,475.48,2321,22.17,69,,,,,,,,92, 
2021-12-16 00:00:00,468.63,2298,22.22,74,6.416944444444445,8.279444444444444,0.0,0.0,0.0,0.0,,100, 
2021-12-17 00:00:00,455.36,2313,30.78,74.5,9.283333333333331,9.7,0.0,0.0,0.0,0.0,,126, 
2021-12-18 00:00:00,516.34,2385,30.45,76.5,7.05,7.883333333333334,0.0,0.0,0.0,0.3516666666666667,,, 
2021-12-19 00:00:00,332.72,2170,30.83,72.5,7.041666666666667,8.178611111111111,0.0,0.0,0.0,0.0,,102, 
2021-12-20 00:00:00,482.13,2300,30.6,70.75,7.008333333333334,8.529289571245512,0.0,0.0,0.0,1.6569444444444443,,95, 
2021-12-21 00:00:00,413.35,2262,21.76,72,,,,,,,,120.5, 
2021-12-22 00:00:00,470.26,2379,20.43,74.67,7.566666666666667,8.604963942004575,0.0,0.0,0.0,0.7497222222222222,,, 
2021-12-23 00:00:00,418.9,2156,29.92,69,8.383333333333333,9.466666666666667,0.0,0.0,0.0,0.5141666666666667,,122.5,208.6 
2021-12-24 00:00:00,488.03,2271,35.27,69.5,7.217777777777778,8.183333333333334,0.0,0.0,0.0,0.28194444444444444,,107, 
2021-12-25 00:00:00,469.46,2209,16.89,73.5,6.691666666666667,7.2,0.0,0.0,0.0,0.0,,106, 
2021-12-26 00:00:00,502.55,2344,29.78,74,6.633333333333334,7.002222222222223,0.0,0.0,0.0,0.3825,,98, 
2021-12-27 00:00:00,419.06,2258,34.65,70.4,6.8500000000000005,7.5536111111111115,0.0,0.0,0.0,0.9233333333333333,,, 
2021-12-28 00:00:00,496.37,2306,25.76,78,5.700000000000001,7.829731408589416,0.0,0.0,0.0,0.0,,106, 
2021-12-29 00:00:00,479.54,2281,20.48,72,,,,,,,,104, 
2021-12-30 00:00:00,500.57,2341,,81,6.6775,8.65,0.0,0.0,0.0,1.4055555555555554,,113, 
2021-12-31 00:00:00,577.14,2305,17.66,73,8.025,9.466666666666667,0.0,0.0,0.0,0.8619096933801969,28.7,104.5, 
2022-01-01 00:00:00,426.93,2264,22.34,70.43,7.441666666666667,8.4,0.0,0.0,0.0,1.7005555555555554,,93, 
2022-01-02 00:00:00,1022,2331,19.04,75,8.158333333333333,8.733333333333333,0.0,0.0,0.0,0.0,28.53,115, 
2022-01-03 00:00:00,515.61,2332,20.91,70.6,6.541666666666667,8.379351568486955,0.0,0.0,0.0,0.4083333333333333,,112.5, 
2022-01-04 00:00:00,802.32,2370,25.94,72,7.125000000000001,8.237222222222222,0.0,0.0,0.0,0.7497222222222222,28.03,130, 
2022-01-05 00:00:00,779.02,2335,28.33,73,,,,,,,28.02,97, 
2022-01-06 00:00:00,757.26,2378,23.29,73,7.608333333333333,8.561515640848212,0.0,0.0,0.0,0.32805555555555554,28.17,129, 
2022-01-07 00:00:00,526.68,2384,17.2,75.5,,,,,,,,100, 
2022-01-08 00:00:00,1127,2255,18.02,72.5,8.452848949465487,8.869793393909932,0.0,0.0,0.0,0.41638888888888886,28.1,116.5, 
2022-01-09 00:00:00,1191,2353,15.2,76.5,6.4750000000000005,7.682335423595376,0.0,0.0,0.0,0.0,27.83,117, 
2022-01-10 00:00:00,624.66,2326,23.48,72.5,7.291666666666667,8.863683006399208,0.0,0.0,0.0,0.8277777777777777,27.89,131, 
2022-01-11 00:00:00,549.96,2331,17.31,66.25,7.317222222222222,8.124193987747033,0.0,0.0,0.0,0.2658333333333333,,96, 
2022-01-12 00:00:00,482.78,2311,22.48,69.5,7.958333333333334,10.066666666666666,0.0,0.0,0.0,1.2647222222222223,,96, 
2022-01-13 00:00:00,511.33,2319,17.35,71.5,6.841666666666668,8.149458049635092,0.0,0.0,0.0,0.0,,107, 
2022-01-14 00:00:00,498.92,2315,26.51,69.33,7.0,7.766666666666667,0.0,0.0,0.0,0.0,,96.5, 
2022-01-15 00:00:00,1536,2393,20.83,70,7.166666666666668,9.383333333333333,0.0,0.0,0.0,0.5661111111111111,27.8,137, 
2022-01-16 00:00:00,707.98,2280,22.37,70,8.58361111111111,8.966666666666667,0.0,0.0,0.0,0.0,27.72,109, 
2022-01-17 00:00:00,764.82,2333,18.41,71,7.016666666666667,7.689692930016252,0.0,0.0,0.0,0.0,27.9,118,208.2 
2022-01-18 00:00:00,691.24,2322,17.91,66,,,,,,,28.16,120, 
2022-01-19 00:00:00,493.86,2340,20.79,69.5,8.174999999999999,9.06059950682852,0.0,0.0,0.0,0.5213888888888889,,99, 
2022-01-20 00:00:00,550.82,2389,21.4,66.33,8.183333333333334,8.983333333333333,0.0,0.0,0.0,0.7497222222222222,,96, 
2022-01-21 00:00:00,757.97,2272,19.85,72.5,8.508333333333333,9.3,0.0,0.0,0.0,0.0,28.37,122, 
2022-01-22 00:00:00,1473,2331,25.44,67.33,15.25,8.816666666666666,0.0,0.0,0.0,0.5369444444444444,28.71,97.5, 
