summary_date,sleep.period_id,sleep.is_longest,sleep.deep,sleep.bedtime_start,sleep.bedtime_end,sleep.duration,sleep.total,sleep.awake,sleep.rem,sleep.light,sleep.deep,sleep.hr_lowest,sleep.hr_average,sleep.efficiency,sleep.onset_latency,sleep.restless,sleep.temperature_delta,sleep.breath_average,sleep.score,sleep.rmssd,activity.score,activity.daily_movement,activity.non_wear,activity.rest,activity.inactive,activity.low,activity.medium,activity.high,activity.steps,activity.cal_total,activity.cal_active,readiness.period_id,readiness.score
2021-12-04,0,1,3000,2021-12-04T21:45:31-08:00,2021-12-05T05:47:31-08:00,28920,25830,3090,8970,13860,3000,68.0,77.826,89,510,3,-0.31,16.5,90,19,98.0,38833,454,376,230,89,3,288,1746,4471,2342,0,81
2021-12-05,0,1,2520,2021-12-05T21:11:45-08:00,2021-12-06T06:41:45-08:00,34200,29040,5160,7650,18870,2520,66.0,70.481,85,930,3,0.07,15.5,89,18,88.0,1919,0,593,703,141,2,1,2914,2423,142,0,87
2021-12-06,0,1,2700,2021-12-06T21:04:39-08:00,2021-12-07T05:57:39-08:00,31980,29220,2760,8970,17550,2700,64.0,73.157,91,570,3,0.14,15.125,89,17,86.0,5901,0,631,553,209,46,1,8626,2739,393,0,80
2021-12-07,0,1,4230,2021-12-07T22:26:44-08:00,2021-12-08T06:05:44-08:00,27540,26730,810,7320,15180,4230,60.0,66.046,97,300,3,-0.09,14.875,90,24,73.0,1228,82,462,785,111,0,0,2193,2447,108,0,86
2021-12-08,0,1,180,2021-12-08T21:52:04-08:00,2021-12-09T05:56:04-08:00,29040,26610,2430,6990,19440,180,63.0,71.404,92,300,3,0.27,15.0,85,21,70.0,1654,0,487,816,136,1,0,2490,2466,128,0,88
2021-12-09,0,1,4080,2021-12-09T20:33:18-08:00,2021-12-10T05:35:18-08:00,32520,29700,2820,7230,18390,4080,62.0,67.57,91,2040,3,0.1,14.875,90,27,60.0,1030,0,674,678,88,0,0,1778,2321,82,0,87
2021-12-10,0,1,390,2021-12-10T22:33:40-08:00,2021-12-11T07:26:40-08:00,31980,29040,2940,10140,18510,390,62.0,66.875,91,810,3,-0.25,15.0,89,28,48.0,1892,0,406,857,173,4,0,2981,2569,160,0,91
2021-12-11,1,1,1440,2021-12-11T20:58:03-08:00,2021-12-12T07:56:03-08:00,39480,28560,10920,8730,18390,1440,62.0,67.827,72,2940,3,-0.17,14.75,75,30,43.0,1589,0,512,816,108,4,0,2115,2395,110,1,85
2021-12-12,0,1,2640,2021-12-12T21:59:43-08:00,2021-12-13T06:52:43-08:00,31980,27390,4590,10440,14310,2640,62.0,68.74,86,300,3,-0.26,14.375,86,21,52.0,2323,232,575,505,125,3,0,2606,2376,134,0,86
2021-12-13,0,1,4770,2021-12-13T22:55:37-08:00,2021-12-14T06:01:37-08:00,25560,24720,840,8160,11790,4770,63.0,70.694,97,240,3,-0.25,14.5,88,25,43.0,2344,0,475,778,187,0,0,3446,2542,168,0,82
2021-12-14,0,1,4620,2021-12-14T21:40:36-08:00,2021-12-15T05:25:36-08:00,27900,26580,1320,10950,11010,4620,67.0,72.859,95,330,2,-0.33,15.0,91,29,42.0,2415,0,489,743,206,2,0,3616,2541,178,0,83
2021-12-15,0,1,5310,2021-12-15T21:14:50-08:00,2021-12-16T04:06:50-08:00,24720,23130,1590,7560,10260,5310,65.0,72.438,94,360,3,-0.07,13.625,84,22,44.0,2440,0,486,761,191,2,0,3508,2534,175,0,82
2021-12-16,0,1,5160,2021-12-16T20:04:41-08:00,2021-12-17T05:46:41-08:00,34920,33450,1470,13140,15150,5160,69.0,75.517,96,360,2,-0.18,13.5,96,22,41.0,2259,0,493,773,172,2,0,3364,2496,158,0,84
2021-12-17,0,1,4860,2021-12-17T21:37:14-08:00,2021-12-18T05:17:14-08:00,27600,26610,990,7500,14250,4860,68.0,73.333,96,180,3,-0.03,16.125,89,32,40.0,1868,30,551,717,140,2,0,2589,2459,133,0,76
2021-12-18,0,1,8730,2021-12-18T23:36:07-08:00,2021-12-19T07:29:07-08:00,28380,25410,2970,10440,6240,8730,69.0,74.708,90,180,3,-0.28,15.5,86,30,34.0,1731,0,348,961,129,2,0,2613,2542,131,0,76
2021-12-19,1,1,4410,2021-12-19T21:56:35-08:00,2021-12-20T05:23:35-08:00,26820,25380,1440,5820,15150,4410,66.0,71.43,95,660,3,-0.28,15.375,89,31,41.0,1238,0,589,783,66,2,0,1519,2341,86,1,81
2021-12-20,0,1,4350,2021-12-20T21:39:44-08:00,2021-12-21T06:09:44-08:00,30600,25260,5340,8280,12630,4350,67.0,71.767,83,840,3,-0.23,16.125,89,31,40.0,2163,81,420,767,168,4,0,3459,2524,163,0,85
2021-12-21,2,1,3990,2021-12-21T21:15:03-08:00,2021-12-22T05:41:03-08:00,30360,27270,3090,8400,14880,3990,69.0,77.516,90,630,3,0.26,14.375,92,22,43.0,2097,0,536,739,160,4,1,3114,2466,154,2,79
2021-12-22,0,1,2520,2021-12-22T21:39:18-08:00,2021-12-23T07:16:18-08:00,34620,30810,3810,8550,19740,2520,70.0,76.869,89,1080,3,0.04,15.5,91,20,38.0,961,0,465,858,117,0,0,1975,2479,99,0,78
2021-12-23,0,1,4980,2021-12-23T21:50:52-08:00,2021-12-24T07:18:52-08:00,34080,30210,3870,7980,17250,4980,63.0,72.664,89,1020,2,-0.14,15.25,96,31,46.0,4664,0,532,629,273,6,0,5981,2654,291,0,89
2021-12-24,1,1,4140,2021-12-24T22:46:56-08:00,2021-12-25T06:57:56-08:00,29460,25110,4350,5670,15300,4140,64.0,71.391,85,780,4,0.08,16.0,87,34,43.0,3672,0,497,723,213,7,0,4831,2566,230,1,85
2021-12-25,0,1,2340,2021-12-25T22:21:55-08:00,2021-12-26T05:33:55-08:00,25920,24120,1800,5310,16470,2340,67.0,77.821,93,630,3,-0.1,14.5,81,16,43.0,3295,70,501,687,176,6,0,3996,2472,197,0,72
2021-12-26,0,1,4020,2021-12-26T22:42:58-08:00,2021-12-27T05:40:58-08:00,25080,23910,1170,8670,11220,4020,68.0,73.909,95,600,3,-0.59,15.75,87,29,40.0,2345,0,427,861,146,6,0,3363,2535,164,0,77
2021-12-27,0,1,2670,2021-12-27T22:50:13-08:00,2021-12-28T06:07:13-08:00,26220,24690,1530,9360,12660,2670,67.0,73.2,94,360,4,-0.79,16.25,82,35,40.0,2298,0,402,881,150,7,0,3462,2560,166,0,78
